Start Month,SB1 Return,SPY Return,Diff,Win
2021-01,160.92618786704793,101.61408023896593,59.312107628082,True
2021-02,173.41844207244407,97.62714848283119,75.79129358961288,True
2021-03,159.18156570179713,90.85492246023612,68.326643241561,True
2021-04,151.0380694702531,84.99420817528603,66.04386129496707,True
2021-05,137.95146473101386,77.21309632181674,60.73836840919712,True
2021-06,123.65581223749888,76.59237451678992,47.06343772070896,True
2021-07,123.89656240048895,71.61640808198004,52.280154318508906,True
2021-08,147.3435138919331,68.80837762366696,78.53513626826614,True
2021-09,174.29472459840542,63.49899700597083,110.79572759243459,True
2021-10,130.5544394196106,69.56743141414313,60.98700800546746,True
2021-11,88.15204350428114,60.05771660900072,28.094326895280417,True
2021-12,162.1557302605773,63.44721457267064,98.70851568790664,True
2022-01,93.91081008202798,53.59773675301182,40.313073329016156,True
2022-02,101.43764998469362,61.99398173179879,39.44366825289483,True
2022-03,124.79586571740633,70.64787000101744,54.14799571638889,True
2022-04,75.56609968359955,61.5029821186499,14.063117564949643,True
2022-05,65.31915416226393,76.48121538104114,-11.162061218777211,False
2022-06,117.25135219139102,78.58817314048179,38.663179050909235,True
2022-07,104.49239217128759,91.0431996809351,13.449192490352488,True
2022-08,97.75847414841657,77.30925383937182,20.449220309044748,True
2022-09,93.26969982312929,83.72763768392831,9.54206213920098,True
2022-10,107.63737837402829,97.85424407371224,9.78313430031605,True
2022-11,126.04395906138429,88.63870638754163,37.405252673842654,True
2022-12,66.35786106083874,78.05328817456221,-11.695427113723468,False
2023-01,79.04512895921717,89.60083785793348,-10.555708898716318,False
2023-02,90.2553221743012,75.76384400113638,14.491478173164822,True
2023-03,102.74446457059865,82.91481462685663,19.829649943742027,True
2023-04,64.96993135203846,75.03168239094751,-10.061751038909051,False
2023-05,94.39544658094411,73.11080923851917,21.284637342424944,True
2023-06,74.35356259387498,70.52122922494527,3.83233336892971,True
2023-07,95.10710933577543,61.479681421202116,33.62742791457332,True
2023-08,65.9725905645824,56.99060870698464,8.981981857597766,True
2023-09,78.79665656801228,58.831257441957106,19.965399126055175,True
2023-10,98.56006921718127,67.11797676851994,31.442092448661327,True
2023-11,82.90047475864412,68.9565690577055,13.943905700938629,True
2023-12,73.88211558153158,55.54602170216897,18.336093879362608,True
2024-01,48.06873876544961,50.476718647074975,-2.4079798816253657,False
2024-02,62.18000182081704,45.38596345995448,16.794038360862558,True
2024-03,51.67549662653927,38.68152438122005,12.99397224531922,True
2024-04,51.77886339121821,35.786956806761765,15.991906584456444,True
2024-05,54.152765869655646,41.70584198554911,12.446923884106539,True
2024-06,35.98321100526338,34.33598233494893,1.6472286703144476,True
2024-07,21.79735933535581,29.597162631082785,-7.799803295726974,False
2024-08,43.38728912786965,30.153249618466855,13.234039509402795,True
2024-09,23.294334800777477,28.01500159573481,-4.7206667949573315,False
2024-10,24.01601126219274,23.911239631833013,0.10477163035972836,True
2024-11,35.970816763267564,23.386113331511194,12.58470343175637,True
2024-12,8.600313051610021,16.72450212696333,-8.124189075353309,False
